央视节目,#genre#
动漫秀场,http://183.185.220.49:8084/rtp/226.0.2.183:9376$山西联通HD
卡酷少儿,http://183.185.220.49:8084/rtp/226.0.2.57:8368$山西联通
哈哈炫动,http://183.185.220.49:8084/rtp/226.0.2.44:8264$山西联通
新动漫,http://183.185.220.49:8084/rtp/226.0.2.73:8496$山西联通

电影节目,#genre#
CHC影迷电影,http://183.185.220.49:8084/rtp/226.0.2.93:8004$山西联通
CHC动作电影,http://183.185.220.49:8084/rtp/226.0.2.94:8012$山西联通
CHC家庭影院,http://183.185.220.49:8084/rtp/226.0.2.240:9820$山西联通

数字节目,#genre#
中国天气,http://183.185.220.49:8084/rtp/226.0.2.103:8736$山西联通
东方财经,http://183.185.220.49:8084/rtp/226.0.2.76:8520$山西联通HD
乐游,http://183.185.220.49:8084/rtp/226.0.2.77:8528$山西联通HD
游戏风云,http://183.185.220.49:8084/rtp/226.0.2.78:8536$山西联通HD
都市剧场,http://183.185.220.49:8084/rtp/226.0.2.81:8560$山西联通HD
法治天地,http://183.185.220.49:8084/rtp/226.0.2.83:8576$山西联通HD
生活时尚,http://183.185.220.49:8084/rtp/226.0.2.84:8584$山西联通HD
金色学堂,http://183.185.220.49:8084/rtp/226.0.2.182:9368$山西联通HD
重庆汽摩,http://183.185.220.49:8084/rtp/226.0.2.95:8672$山西联通
茶频道,http://183.185.220.49:8084/rtp/226.0.2.213:9616$山西联通HD
快乐垂钓,http://183.185.220.49:8084/rtp/226.0.2.214:9624$山西联通HD
书画频道,http://183.185.220.49:8084/rtp/226.0.2.102:8728$山西联通
环球奇观,http://183.185.220.49:8084/rtp/226.0.2.111:8800$山西联通
老故事,http://183.185.220.49:8084/rtp/226.0.2.112:8808$山西联通
国学频道,http://183.185.220.49:8084/rtp/226.0.2.116:8840$山西联通
优优宝贝,http://183.185.220.49:8084/rtp/226.0.2.119:8864$山西联通
生态环境,http://183.185.220.49:8084/rtp/226.0.2.120:8872$山西联通
先锋乒羽,http://183.185.220.49:8084/rtp/226.0.2.121:8880$山西联通
四海钓鱼,http://183.185.220.49:8084/rtp/226.0.2.123:8896$山西联通
天下收藏,http://183.185.220.49:8084/rtp/226.0.2.124:8904$山西联通
车迷频道,http://183.185.220.49:8084/rtp/226.0.2.138:9016$山西联通
上海纪实,http://183.185.220.49:8084/rtp/226.0.2.193:9456$山西联通
金鹰纪实,http://183.185.220.49:8084/rtp/226.0.2.194:9464$山西联通
环球旅游,http://183.185.220.49:8084/rtp/226.0.2.127:8928$山西联通
中华特产,http://183.185.220.49:8084/rtp/226.0.2.128:8936$山西联通
九屏测试,http://183.185.220.49:8084/rtp/226.0.2.197:9488$山西联通
