央视节目,#genre#
光影,http://123.113.237.79:8888/rtp/239.3.1.84:4120$北京联通
喜剧影院,http://123.113.237.79:8888/rtp/239.3.1.91:4120$北京联通
家庭影院,http://123.113.237.79:8888/rtp/239.3.1.93:4120$北京联通
精选,http://123.113.237.79:8888/rtp/239.3.1.74:4120$北京联通
经典电影,http://123.113.237.79:8888/rtp/239.3.1.195:9024$北京联通
纪实人文,http://123.113.237.79:8888/rtp/239.3.1.212:8060$北京联通
金鹰纪实,http://123.113.237.79:8888/rtp/239.3.1.58:8156$北京联通
风尚生活,http://123.113.237.79:8888/# rtp/239.3.1.114:8001$北京联通
地理,http://123.113.237.79:8888/rtp/239.3.1.71:4120$北京联通
淘剧场,http://123.113.237.79:8888/rtp/239.3.1.95:8001$北京联通
幸福剧场,http://123.113.237.79:8888/# rtp/239.3.1.112:8001$北京联通
淘娱乐,http://123.113.237.79:8888/rtp/239.3.1.100:8001$北京联通
幸福娱乐,http://123.113.237.79:8888/# rtp/239.3.1.113:8001$北京联通
淘Baby,http://123.113.237.79:8888/rtp/239.3.1.238:8001$北京联通
萌宠TV,http://123.113.237.79:8888/rtp/239.3.1.102:8001$北京联通
中国交通,http://123.113.237.79:8888/rtp/239.3.1.188:8001$北京联通
睛彩竞技,http://123.113.237.79:8888/rtp/239.3.1.125:8001$北京联通
睛彩篮球,http://123.113.237.79:8888/rtp/239.3.1.126:8001$北京联通
睛彩羽毛球,http://123.113.237.79:8888/rtp/239.3.1.127:8001$北京联通
睛彩广场舞,http://123.113.237.79:8888/rtp/239.3.1.128:8001$北京联通
茶频道,http://123.113.237.79:8888/rtp/239.3.1.165:8001$北京联通
体育赛事,http://123.113.237.79:8888/rtp/239.3.1.157:8176$北京联通
淘精彩,http://123.113.237.79:8888/rtp/239.3.1.178:8001$北京联通
快乐垂钓,http://123.113.237.79:8888/rtp/239.3.1.164:8001$北京联通
大健康,http://123.113.237.79:8888/rtp/239.3.1.251:8001$北京联通
少儿动画,http://123.113.237.79:8888/rtp/239.3.1.199:9000$北京联通
热播剧场,http://123.113.237.79:8888/rtp/239.3.1.194:9020$北京联通
解密,http://123.113.237.79:8888/rtp/239.3.1.75:4120$北京联通
军事,http://123.113.237.79:8888/rtp/239.3.1.76:4120$北京联通
军旅剧场,http://123.113.237.79:8888/rtp/239.3.1.68:4120$北京联通
动画,http://123.113.237.79:8888/rtp/239.3.1.80:4120$北京联通
古装剧场,http://123.113.237.79:8888/rtp/239.3.1.69:4120$北京联通
台球,http://123.113.237.79:8888/rtp/239.3.1.85:4120$北京联通
国学,http://123.113.237.79:8888/rtp/239.3.1.77:4120$北京联通
城市剧场,http://123.113.237.79:8888/rtp/239.3.1.67:4120$北京联通
墨宝,http://123.113.237.79:8888/rtp/239.3.1.83:4120$北京联通
好学生,http://123.113.237.79:8888/rtp/239.3.1.81:4120$北京联通
山东教育,http://123.113.237.79:8888/rtp/239.3.1.52:4120$北京联通
戏曲,http://123.113.237.79:8888/rtp/239.3.1.78:4120$北京联通
收视指南,http://123.113.237.79:8888/rtp/239.3.1.193:8012$北京联通
早教,http://123.113.237.79:8888/rtp/239.3.1.79:4120$北京联通
