央视节目,#genre#
CCTV-1 综合,http://171.8.169.117:8800/rtp/239.16.10.1:2000$河南电信
CCTV-2 财经,http://171.8.169.117:8800/rtp/239.16.10.127:2000$河南电信
CCTV-3 综艺,http://171.8.169.117:8800/rtp/239.16.10.2:2000$河南电信
CCTV-4 中文国际,http://171.8.169.117:8800/rtp/239.16.10.128:2000$河南电信
CCTV-5 体育,http://171.8.169.117:8800/rtp/239.16.10.132:2000$河南电信
CCTV-6 电影,http://171.8.169.117:8800/rtp/239.16.10.101:2000$河南电信
CCTV-7 国防军事,http://171.8.169.117:8800/rtp/239.16.10.130:2000$河南电信
CCTV-8 电视剧,http://171.8.169.117:8800/rtp/239.16.10.102:2000$河南电信
CCTV-9 纪录,http://171.8.169.117:8800/rtp/239.16.10.103:2000$河南电信
CCTV-10 科教,http://171.8.169.117:8800/rtp/239.16.10.108:2000$河南电信
CCTV-11 戏曲,http://171.8.169.117:8800/rtp/239.16.10.109:2000$河南电信
CCTV-12 社会与法,http://171.8.169.117:8800/rtp/239.16.10.110:2000$河南电信
CCTV-13 新闻,http://171.8.169.117:8800/rtp/239.16.20.13:10130$河南电信
CCTV-13 新闻,http://171.8.169.117:8800/rtp/239.16.10.111:2000$河南电信
CCTV-14 少儿,http://171.8.169.117:8800/rtp/239.16.10.112:2000$河南电信
CCTV-15 音乐,http://171.8.169.117:8800/rtp/239.16.10.113:2000$河南电信
CCTV-16 奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$移动
CCTV-17 农业农村,http://171.8.169.117:8800/rtp/239.16.10.129:2000$河南电信
CCTV-5+ 体育赛事,http://171.8.169.117:8800/rtp/239.16.10.3:2000$河南电信

卫视节目,#genre#
河南卫视,http://171.8.169.117:8800/rtp/239.16.20.21:10210$河南电信
浙江卫视,http://171.8.169.117:8800/rtp/239.16.20.71:10710$河南电信
湖南卫视,http://171.8.169.117:8800/rtp/239.16.20.72:10720$河南电信
东方卫视,http://171.8.169.117:8800/rtp/239.16.20.73:10730$河南电信
江苏卫视,http://171.8.169.117:8800/rtp/239.16.20.74:10740$河南电信
