央视节目,#genre#
军旅剧场,http://1.203.77.170:7788/udp/225.1.8.228:4120$北京电信
古装剧场,http://1.203.77.170:7788/udp/225.1.8.229:4120$北京电信
音乐现场,http://1.203.77.170:7788/udp/225.1.8.230:4120$北京电信
地理,http://1.203.77.170:7788/udp/225.1.8.231:4120$北京电信
美妆,http://1.203.77.170:7788/udp/225.1.8.232:4120$北京电信
美人,http://1.203.77.170:7788/udp/225.1.8.233:4120$北京电信
精选,http://1.203.77.170:7788/udp/225.1.8.234:4120$北京电信
解密,http://1.203.77.170:7788/udp/225.1.8.235:4120$北京电信
军事,http://1.203.77.170:7788/udp/225.1.8.236:4120$北京电信
国学,http://1.203.77.170:7788/udp/225.1.8.237:4120$北京电信
戏曲,http://1.203.77.170:7788/udp/225.1.8.238:4120$北京电信
早教,http://1.203.77.170:7788/udp/225.1.8.239:4120$北京电信
动画,http://1.203.77.170:7788/udp/225.1.8.240:4120$北京电信
好学生,http://1.203.77.170:7788/udp/225.1.8.241:4120$北京电信
鉴赏,http://1.203.77.170:7788/udp/225.1.8.242:4120$北京电信
墨宝,http://1.203.77.170:7788/udp/225.1.8.243:4120$北京电信
光影,http://1.203.77.170:7788/udp/225.1.8.244:4120$北京电信
台球,http://1.203.77.170:7788/udp/225.1.8.245:4120$北京电信
爱生活,http://1.203.77.170:7788/udp/225.1.8.246:4120$北京电信
武术,http://1.203.77.170:7788/udp/225.1.8.247:4120$北京电信
高网,http://1.203.77.170:7788/udp/225.1.8.248:4120$北京电信
足球,http://1.203.77.170:7788/udp/225.1.8.249:4120$北京电信
武侠剧场,http://1.203.77.170:7788/udp/225.1.8.250:4120$北京电信
